,name_food,calories,link
0,Ensalada de escarola y granada para navidad,210,https://queapetito.com/receta-ensalada-escarola-granada-navidad/
1,Ensalada Templada de Pollo y Bacon,319,https://queapetito.com/receta-ensalada-templada-pollo-bacon/
2,Ensalada de brócoli crudo,110,https://queapetito.com/receta-ensalada-brocoli-crudo/
3,Ensalada de lechuga con manzana y pasas,198,https://queapetito.com/receta-ensalada-lechuga-manzana-pasas/
4,Ensalada de col con queso,150,https://queapetito.com/receta-ensalada-col-queso/
5,Ensalada de tomate y pimiento asado,205,https://queapetito.com/receta-ensalada-tomate-pimiento-asado/
6,Ensalada de Trampó,58,https://queapetito.com/receta-ensalada-trampo/
7,Ensalada de lechuga con queso de cabra y jamón,190,https://queapetito.com/receta-ensalada-lechuga-queso-cabra-jamon/
8,Ensalada de alubias blancas con pesto,520,https://queapetito.com/receta-ensalada-alubias-blancas-pesto/
9,Ensalada con queso de cabra y bacón,175,https://queapetito.com/receta-ensalada-queso-cabra-bacon/
10,Ensalada de tomate y queso feta,198,https://queapetito.com/receta-ensalada-tomate-queso-feta/
11,Ensalada de brócoli con quinoa y lima,210,https://queapetito.com/receta-ensalada-brocoli-quinoa-lima/
12,Ensalada de Lechuga Romana,67,https://queapetito.com/receta-ensalada-lechuga-romana/
13,Ensalada de brócoli con atún y huevo duro,172,https://queapetito.com/receta-ensalada-brocoli-atun-huevo-duro/
14,Ensalada con arándanos,190,https://queapetito.com/receta-ensalada-arandanos/
15,Ensalada de apio y naranja,200,https://queapetito.com/receta-ensalada-apio-naranja/
16,Ensalada de pasta con salsa cesar,322,https://queapetito.com/receta-ensalada-pasta-salsa-cesar/
17,Ensalada de lechuga y rabanitos,90,https://queapetito.com/receta-lechuga-rabanitos/
18,Ensalada de Lechuga con Mango y Almendras,74,https://queapetito.com/receta-ensalada-lechuga-mango-almendras/
19,Ensalada de col con thermomix,180,https://queapetito.com/receta-ensalada-col-thermomix/
20,Ensalada de manzana y pasas,120,https://queapetito.com/receta-ensalada-manzana-pasas/
21,Ensalada de manzana y maíz,170,https://queapetito.com/receta-ensalada-manzana-maiz/
22,Ensalada de arroz con atún y tocineta,220,https://queapetito.com/receta-ensalada-arroz-atun-tocineta/
